PM2.5,PM10,NO2,O3,DEWP,WSPM
0.5485972410510085,0.45361468820225925,0.2531517523025136,-0.3324172280148746,0.21906161435918908,-0.111409189549408
0.5373296354172057,0.45478427884553413,0.21594244997693215,-0.3324172280148746,0.20974484417285366,-0.14629291047964055
0.5049352692200225,0.4220357408338382,0.2066401243955368,-0.3324172280148746,0.20663925411074188,-0.0997812825726638
0.4542310438679099,0.37057375252974467,0.19733779881414146,-0.3400508158011341,0.21595602429707728,-0.0997812825726638
0.4824000579524169,0.42086615019056334,0.2624540778839089,-0.2408141745797601,0.22837838454552448,-0.111409189549408
0.5035268185157972,0.41384860633091425,0.1880354732327461,-0.3324172280148746,0.24080074479397168,-0.13466500350289637
0.47535780443129017,0.43607082855313645,0.1740819848606531,-0.3400508158011341,0.23769515473185987,-0.08815337559591963
0.4514141424594592,0.41384860633091425,0.1926866360234438,-0.3400508158011341,0.23148397460763628,-0.111409189549408
0.45845639598058596,0.42086615019056334,0.23919826393042054,-0.3400508158011341,0.2345895646697481,-0.12303709652615219
0.462681748093262,0.38110006831921833,0.2717564034653043,-0.3400508158011341,0.2345895646697481,-0.111409189549408
0.44718879034678316,0.35887784609699613,0.318268031372281,-0.2408141745797601,0.2501175149803071,-0.12303709652615219
0.46409019879748736,0.37057375252974467,0.34617500811646706,-0.32478364022861506,0.2718566454150897,-0.12303709652615219
0.40211836781157184,0.3191117642256511,0.3926866360234438,-0.30951646465609595,0.2842790056635369,-0.12303709652615219
0.5218366776707268,0.4243749221203879,0.5647796592792578,-0.30951646465609595,0.3029125460362077,-0.07652546861917543
0.6288789311918536,0.5074158577929025,0.6996633802094903,-0.30951646465609595,0.2967013659119841,-0.05326965466568707
0.6654986495017127,0.5425035770911482,0.6903610546280949,-0.32478364022861506,0.29049018578776054,-0.030013840712198696
0.6654986495017127,0.5495211209507973,0.676407566256002,-0.30951646465609595,0.2873845957256487,0.016497787194778065
0.6302873818960789,0.5085854484361774,0.6066401243955368,-0.34768440358739366,0.2718566454150897,-0.0997812825726638
0.6007099171073466,0.48987199814377974,0.5880354732327461,-0.34768440358739366,0.2811734156014251,-0.111409189549408
